ID,Severity,traffic_disruption_duration,traffic_disruption_distance,is_day
A-194408,2,0.4936111111111111,0.01,1
A-194422,3,0.49416666666666664,1.13,1
A-194475,2,0.4913888888888889,0.01,1
A-194540,2,0.4975,0.01,0
A-194558,2,0.4922222222222222,0.01,1
A-194617,2,0.49722222222222223,0.01,1
A-194628,2,0.4911111111111111,0.01,1
A-194629,2,0.48583333333333334,0.01,1
A-194760,2,0.4922222222222222,0.01,0
A-194791,2,0.4786111111111111,0.01,0
A-194962,2,0.7466666666666667,0.01,1
A-194969,2,0.7455555555555555,0.01,1
A-195002,3,0.7422222222222222,0.01,0
A-195049,2,0.48388888888888887,0.01,1
A-195116,3,1.333611111111111,1.0,1
A-195135,3,0.4836111111111111,0.01,1
A-195165,2,0.7433333333333333,0.01,1
A-195205,2,0.5,0.01,0
A-195226,2,0.4608333333333333,0.01,0
A-195315,3,0.49166666666666664,0.01,1
A-195407,2,0.4961111111111111,0.01,0
A-195461,2,0.49694444444444447,0.01,1
A-195462,2,0.49805555555555553,0.01,1
A-195511,2,0.7461111111111111,0.01,0
A-195630,2,0.7469444444444444,0.01,1
A-195631,3,0.35833333333333334,0.01,1
A-195670,3,0.495,0.01,1
A-195683,2,0.7455555555555555,0.01,1
A-195713,3,0.7455555555555555,0.01,0
A-195771,3,0.735,0.01,1
A-195779,2,0.7416666666666667,0.01,1
A-195803,2,0.4880555555555556,0.01,0
A-195829,2,0.7447222222222222,0.01,0
A-195915,2,0.495,0.01,1
A-195927,2,0.49583333333333335,0.01,1
A-195928,2,0.49444444444444446,0.01,1
A-195943,2,0.5,0.01,1
A-195979,2,0.49444444444444446,0.01,1
A-196003,2,0.7397222222222222,0.01,1
A-196051,2,0.7419444444444444,0.01,0
A-196068,2,0.49083333333333334,0.01,0
A-196108,2,0.4922222222222222,0.01,1
A-196154,3,0.7366666666666667,0.01,1
A-196164,2,0.495,0.01,1
A-196183,3,0.49027777777777776,1.0,1
A-196231,3,0.4922222222222222,1.12,0
A-196239,3,0.7419444444444444,0.01,0
A-196272,2,0.49333333333333335,0.01,0
A-196401,2,0.7455555555555555,0.01,0
A-196435,2,0.7441666666666666,0.01,0
A-196458,2,0.4961111111111111,0.01,0
A-196473,2,0.495,0.01,1
A-196522,3,0.4875,0.76,1
A-196526,2,0.49694444444444447,0.01,1
A-196533,2,0.49083333333333334,0.97,1
A-196534,2,0.4930555555555556,0.01,1
A-196562,2,0.7447222222222222,0.01,1
A-196576,3,0.7436111111111111,0.01,0
A-196635,2,0.4936111111111111,0.01,0
A-196638,2,0.49666666666666665,0.01,0
A-196694,3,0.48638888888888887,0.78,1
A-196700,2,0.49333333333333335,0.01,1
A-196742,2,0.7461111111111111,0.01,1
A-196769,2,0.7461111111111111,0.01,0
A-196787,2,0.7463888888888889,0.01,0
A-196798,3,0.45444444444444443,1.0,0
A-196895,2,0.5775,0.62,1
A-196917,2,0.49416666666666664,0.01,0
A-196924,2,0.49527777777777776,0.01,0
A-196932,2,0.49777777777777776,0.01,1
A-196974,3,0.4872222222222222,0.01,1
A-196975,2,0.49805555555555553,0.01,1
A-196989,2,0.4938888888888889,0.01,1
A-197065,2,0.49444444444444446,0.01,0
A-197080,3,0.48444444444444446,0.78,0
A-197093,2,0.49472222222222223,0.01,1
A-197200,2,0.7452777777777778,0.01,1
A-197240,2,0.7455555555555555,0.01,0
A-197241,3,0.7436111111111111,0.01,0
A-197253,2,0.7472222222222222,0.01,0
A-197263,3,0.48944444444444446,0.01,0
A-197337,3,0.4880555555555556,0.01,1
A-197398,3,0.7430555555555556,0.01,0
A-197435,3,0.47944444444444445,1.0,0
A-197521,2,0.7452777777777778,0.01,1
A-197539,3,0.7430555555555556,0.01,0
A-197551,2,0.7447222222222222,0.01,0
A-197581,3,0.7427777777777778,0.01,0
A-197586,3,0.7438888888888889,0.01,0
A-197673,2,0.49416666666666664,0.01,1
A-197711,2,0.7391666666666666,0.01,1
A-197719,2,0.7441666666666666,0.01,1
A-197721,2,0.745,0.01,1
A-197806,3,0.745,0.01,1
A-197827,2,0.49027777777777776,0.01,1
A-197836,2,0.4872222222222222,0.01,0
A-197851,2,0.6238888888888889,0.01,0
A-197906,2,0.4961111111111111,0.01,0
A-197920,2,0.4930555555555556,0.01,1
A-198035,2,0.7455555555555555,0.01,0
A-198054,2,0.48138888888888887,0.01,0
A-198103,3,0.4905555555555556,0.78,1
A-198117,3,0.7427777777777778,0.01,1
A-198130,3,0.7433333333333333,0.01,1
